"binno","ratio_mean","ratio_ci","age","ratio_gam_fit"
1,NA,NA,0.00585,-0.270533561510135
2,NA,NA,0.07035,-0.270003168415203
3,NA,NA,0.4515,-0.266868915265744
4,NA,NA,1.287,-0.259998474477706
5,NA,NA,2.19,-0.252572971148447
6,NA,NA,3.09,-0.245172137265451
7,NA,NA,4.4665,-0.233852972998857
8,NA,NA,6.2895,-0.218862172811432
9,NA,NA,9.438,-0.19297158894411
10,NA,NA,12.725,-0.165942098973669
11,NA,NA,14.9,-0.148056750423116
12,NA,NA,18.21,-0.12083812803123
13,NA,NA,21.735,-0.0918515286561867
14,NA,NA,25.425,-0.0615081097359331
15,NA,NA,30.86,-0.0168152962314444
16,NA,NA,35.805,0.0238481743812019
17,NA,NA,39.455,0.0538626673511048
18,NA,NA,44.5,0.0953484528396427
19,NA,NA,51.9,0.156199753655325
20,NA,NA,57.6,0.20307170158093
21,NA,NA,60.4,0.226096518105779
22,NA,NA,63.8,0.254055223885954
23,0.312934095950288,0.0116551135493122,69.05,0.297226754870064
24,0.320860017579326,0.0122410751676177,77.85,0.3693044295081
25,0.280229389538274,0.00902924575366682,84.95,0.426232143055491
26,0.610327397316774,0.0226976264289021,88.05,0.450423248260616
27,0.570365901399031,0.0161916870202984,91.85,0.479318967343295
28,0.307326163852055,0.00841584238375223,97.2,0.518290334819796
29,0.654367815105501,0.0166586083725006,106.75,0.581893972270252
30,0.628852814370356,0.0182103999196923,117.2,0.641416780159056
31,0.672044502167808,0.0210074048623421,123.585,0.672187673448316
32,0.839665166130418,0.0340348899452417,129.185,0.695570998977987
33,0.821172330720884,0.0384415888456175,136.2,0.720067696965946
34,0.700135452201119,0.0231895850785418,142.4,0.737258571975448
35,0.768605793405683,0.0140434495400783,147.1,0.747493167022178
36,0.563457133526155,0.0218816991237858,152,0.755600594991287
37,0.766907373885302,0.0292953868849202,158.15,0.762130147422036
38,0.830145028668193,0.0229769297044097,163.4,0.764605496995526
39,0.603867705864577,0.0165880790833376,166.75,0.764775953612225
40,0.858934372885849,0.020810963944355,169.55,0.764134485118509
41,0.730754101370477,0.0228915580407892,172.8,0.762572412574035
42,0.807274108316615,0.0241809137652089,179.45,0.75708895588832
43,0.884100453413386,0.0324055550415529,188.55,0.746236794634491
44,0.793798240020088,0.029678563469347,196.2,0.735907607098299
45,0.880931274264092,0.0363246326531975,200.4,0.730308145314223
46,0.37719298957452,0.0205364483095032,204.9,0.724575486399298
47,0.658246521359837,0.0150812937337439,217.75,0.709518061366207
48,0.658899128261071,0.0168158887610412,232,0.691811636894872
49,0.528925607432254,0.0097720346911985,239.5,0.679637918655054
50,0.767626114994987,0.017437291162881,244.6,0.669365395152238
51,0.886872527957686,0.0187594661713074,249.2,0.658361691404669
52,0.824331081334971,0.0416840015825165,251.551,0.652036073785546
53,0.629978077639976,0.0295905538944269,253.021,0.647832043309699
54,0.493533090620867,0.0166509883863592,256.825,0.636090956790487
55,0.642018720553961,0.0218190649153245,261.895,0.618712314650055
56,0.688923896770704,0.0251113027602279,265.59,0.605057498519115
57,0.459206786317536,0.012527222677701,269.955,0.58825028567843
58,0.651858491661276,0.0236735556598068,278.255,0.556204285463226
59,0.566025036005842,0.0219563650795971,286.8,0.526879560354078
60,0.398703699818344,0.00858509902547971,291.81,0.513246810816595
61,0.446046345206116,0.0166048075079201,296.21,0.504246732772229
62,0.522170818972527,0.0234006921354181,301.3,0.497823171346974
63,0.375819198619713,0.00527191361238419,305.35,0.495961527301958
64,0.326684150189815,0.012497754923486,311.1,0.498215162127734
65,0.733059885460421,0.0228340053367105,319.2,0.510022260792672
66,0.499393939393939,0.000831341973308229,327.05,0.5285954394725
67,0.316584986343877,0.0108505073006093,338.8,0.561725296305559
68,0.842152367578586,0.0337450591839721,352.8,0.593587777362423
69,0.79154108207506,0.025057737432391,365.55,0.600699249179974
70,0.579524569857925,0.0299708731684552,377.45,0.58138347624244
71,0.389197858582672,0.0137950504845768,385.2,0.555255406432477
72,0.644502050409171,0.0445629620704373,390.5,0.5321328948447
73,0.467951727429329,0.0253961804855764,400.45,0.480706566801616
74,0.355238095238095,0.0109333333333333,409.2,0.431285165065148
75,NA,NA,415,0.398139277047869
76,NA,NA,421.1,0.363278946546936
77,NA,NA,424.3,0.344991560054643
78,NA,NA,426.5,0.332418981841193
79,NA,NA,428.95,0.318417701558032
80,NA,NA,431.95,0.301273276721504
81,NA,NA,435.95,0.27841404360614
82,NA,NA,439.65,0.257269252974426
85,NA,NA,449.1,0.203264314739371
97,NA,NA,511.5,-0.153339721860336
98,NA,NA,517.5,-0.18762857153338
