"","1","2","3","4","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","89","90"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,1,NA,NA,3,3,NA,4,NA,NA,18,17,10,11,NA,NA,12,25,13,3,NA,17,4,26,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,2,NA,NA,3,3,NA,1,NA,NA,15,19,11,12,NA,NA,12,27,13,3,NA,22,4,29,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,0,1,1,NA,3,NA,2,2,NA,1,1,1,1,2,NA,NA,2,3,NA,1,NA,NA,15,19,11,10,NA,NA,12,24,13,3,NA,19,4,28,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,0,1,1,NA,3,NA,2,2,NA,1,1,1,1,1,NA,NA,2,3,NA,1,NA,NA,16,18,10,12,NA,NA,12,25,13,3,NA,17,6,27,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,0,1,1,NA,3,NA,2,2,NA,1,1,1,1,1,NA,NA,2,3,NA,1,NA,NA,16,17,11,13,NA,NA,12,26,13,3,NA,22,7,26,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,1,NA,NA,3,3,NA,2,NA,NA,14,17,11,12,NA,NA,12,28,13,3,NA,20,6,27,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,1,NA,NA,3,3,NA,2,NA,NA,17,17,11,10,NA,NA,12,25,13,3,NA,19,6,23,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,1,NA,NA,3,3,NA,1,NA,NA,14,18,12,9,NA,NA,12,26,13,3,NA,22,6,25,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,0,1,1,NA,3,NA,2,2,NA,1,1,1,1,2,NA,NA,3,3,NA,1,NA,NA,15,17,11,13,NA,NA,12,25,13,3,NA,21,6,28,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,0,1,1,NA,3,NA,3,2,NA,1,1,1,1,2,NA,NA,3,3,NA,2,NA,NA,14,17,13,12,NA,NA,12,25,13,3,NA,20,5,30,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,0,1,2,NA,3,NA,5,3,NA,1,2,1,1,1,NA,NA,3,3,NA,1,NA,NA,16,18,12,12,NA,NA,12,25,13,3,NA,18,5,27,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,0,1,2,NA,3,NA,3,2,NA,1,1,1,1,2,NA,NA,3,3,NA,2,NA,NA,15,18,12,10,NA,NA,12,26,13,3,NA,19,5,25,NA,NA
"Mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,1.56,1.08,1.48,1.74,0,1.02,1.26,NA,3,NA,3.06,2.22,NA,1,1.06,1,1,1.3,NA,NA,2.64,3,NA,1.48,NA,NA,16.18,17.6,11.44,10.9,NA,NA,12.02,25.86,13,3,NA,19.22,5.58,27.4,NA,NA
